nom_img_B;numech_B;nom_img_T;numech_T;ecart_numech;distance_features
2025_Conforme_1_Cam_B_1_22.jpg;22;2025_Conforme_1_Cam_T_1_15.jpg;15;-7;0.1299
2025_Conforme_1_Cam_B_1_32.jpg;32;2025_Conforme_1_Cam_T_1_54.jpg;54;22;0.1396
2025_Conforme_1_Cam_B_1_46.jpg;46;2025_Conforme_1_Cam_T_1_109.jpg;109;63;0.2236
2025_Conforme_1_Cam_B_1_50.jpg;50;2025_Conforme_1_Cam_T_1_114.jpg;114;64;0.1228
2025_Conforme_1_Cam_B_1_53.jpg;53;2025_Conforme_1_Cam_T_1_75.jpg;75;22;0.1769
2025_Conforme_1_Cam_B_1_54.jpg;54;2025_Conforme_1_Cam_T_1_80.jpg;80;26;0.1061
2025_Conforme_1_Cam_B_1_55.jpg;55;2025_Conforme_1_Cam_T_1_129.jpg;129;74;0.2093
2025_Conforme_1_Cam_B_1_56.jpg;56;2025_Conforme_1_Cam_T_1_117.jpg;117;61;0.2058
2025_Conforme_1_Cam_B_1_59.jpg;59;2025_Conforme_1_Cam_T_1_121.jpg;121;62;0.1901
2025_Conforme_1_Cam_B_1_62.jpg;62;2025_Conforme_1_Cam_T_1_53.jpg;53;-9;0.2558
2025_Conforme_1_Cam_B_1_65.jpg;65;2025_Conforme_1_Cam_T_1_25.jpg;25;-40;0.2078
2025_Conforme_1_Cam_B_1_66.jpg;66;2025_Conforme_1_Cam_T_1_132.jpg;132;66;0.1232
2025_Conforme_1_Cam_B_1_68.jpg;68;2025_Conforme_1_Cam_T_1_125.jpg;125;57;0.0953
2025_Conforme_1_Cam_B_1_69.jpg;69;2025_Conforme_1_Cam_T_1_83.jpg;83;14;0.1145
2025_Conforme_1_Cam_B_1_70.jpg;70;2025_Conforme_1_Cam_T_1_73.jpg;73;3;0.4868
2025_Conforme_1_Cam_B_1_71.jpg;71;2025_Conforme_1_Cam_T_1_40.jpg;40;-31;0.0587
2025_Conforme_1_Cam_B_1_74.jpg;74;2025_Conforme_1_Cam_T_1_47.jpg;47;-27;0.1573
2025_Conforme_1_Cam_B_1_75.jpg;75;2025_Conforme_1_Cam_T_1_74.jpg;74;-1;0.1521
2025_Conforme_1_Cam_B_1_76.jpg;76;2025_Conforme_1_Cam_T_1_37.jpg;37;-39;0.2150
2025_Conforme_1_Cam_B_1_77.jpg;77;2025_Conforme_1_Cam_T_1_65.jpg;65;-12;0.3519
2025_Conforme_1_Cam_B_1_79.jpg;79;2025_Conforme_1_Cam_T_1_104.jpg;104;25;0.1376
2025_Conforme_1_Cam_B_1_80.jpg;80;2025_Conforme_1_Cam_T_1_82.jpg;82;2;0.1145
2025_Conforme_1_Cam_B_1_83.jpg;83;2025_Conforme_1_Cam_T_1_122.jpg;122;39;0.2586
2025_Conforme_1_Cam_B_1_85.jpg;85;2025_Conforme_1_Cam_T_1_158.jpg;158;73;0.3771
2025_Conforme_1_Cam_B_1_86.jpg;86;2025_Conforme_1_Cam_T_1_59.jpg;59;-27;0.2063
2025_Conforme_1_Cam_B_1_88.jpg;88;2025_Conforme_1_Cam_T_1_108.jpg;108;20;0.2171
2025_Conforme_1_Cam_B_1_89.jpg;89;2025_Conforme_1_Cam_T_1_107.jpg;107;18;0.2614
2025_Conforme_1_Cam_B_1_91.jpg;91;2025_Conforme_1_Cam_T_1_44.jpg;44;-47;0.2783
2025_Conforme_1_Cam_B_1_92.jpg;92;2025_Conforme_1_Cam_T_1_156.jpg;156;64;0.0929
2025_Conforme_1_Cam_B_1_93.jpg;93;2025_Conforme_1_Cam_T_1_81.jpg;81;-12;0.3030
2025_Conforme_1_Cam_B_1_94.jpg;94;2025_Conforme_1_Cam_T_1_46.jpg;46;-48;0.3187
2025_Conforme_1_Cam_B_1_95.jpg;95;2025_Conforme_1_Cam_T_1_56.jpg;56;-39;0.2646
2025_Conforme_1_Cam_B_1_96.jpg;96;2025_Conforme_1_Cam_T_1_60.jpg;60;-36;0.1558
2025_Conforme_1_Cam_B_1_97.jpg;97;2025_Conforme_1_Cam_T_1_150.jpg;150;53;0.2199
2025_Conforme_1_Cam_B_1_98.jpg;98;2025_Conforme_1_Cam_T_1_94.jpg;94;-4;0.0961
2025_Conforme_1_Cam_B_1_100.jpg;100;2025_Conforme_1_Cam_T_1_120.jpg;120;20;0.1035
2025_Conforme_1_Cam_B_1_103.jpg;103;2025_Conforme_1_Cam_T_1_123.jpg;123;20;0.2383
2025_Conforme_1_Cam_B_1_104.jpg;104;2025_Conforme_1_Cam_T_1_58.jpg;58;-46;0.1345
2025_Conforme_1_Cam_B_1_107.jpg;107;2025_Conforme_1_Cam_T_1_86.jpg;86;-21;0.2428
2025_Conforme_1_Cam_B_1_112.jpg;112;2025_Conforme_1_Cam_T_1_71.jpg;71;-41;0.1743
2025_Conforme_1_Cam_B_1_113.jpg;113;2025_Conforme_1_Cam_T_1_181.jpg;181;68;0.0984
2025_Conforme_1_Cam_B_1_114.jpg;114;2025_Conforme_1_Cam_T_1_52.jpg;52;-62;0.1937
2025_Conforme_1_Cam_B_1_117.jpg;117;2025_Conforme_1_Cam_T_1_64.jpg;64;-53;0.2051
2025_Conforme_1_Cam_B_1_119.jpg;119;2025_Conforme_1_Cam_T_1_91.jpg;91;-28;0.0825
2025_Conforme_1_Cam_B_1_120.jpg;120;2025_Conforme_1_Cam_T_1_63.jpg;63;-57;0.1154
2025_Conforme_1_Cam_B_1_122.jpg;122;2025_Conforme_1_Cam_T_1_160.jpg;160;38;0.1220
2025_Conforme_1_Cam_B_1_123.jpg;123;2025_Conforme_1_Cam_T_1_77.jpg;77;-46;0.0292
2025_Conforme_1_Cam_B_1_124.jpg;124;2025_Conforme_1_Cam_T_1_176.jpg;176;52;0.1564
2025_Conforme_1_Cam_B_1_126.jpg;126;2025_Conforme_1_Cam_T_1_110.jpg;110;-16;0.1607
2025_Conforme_1_Cam_B_1_127.jpg;127;2025_Conforme_1_Cam_T_1_126.jpg;126;-1;0.1702
2025_Conforme_1_Cam_B_1_128.jpg;128;2025_Conforme_1_Cam_T_1_186.jpg;186;58;0.3127
2025_Conforme_1_Cam_B_1_130.jpg;130;2025_Conforme_1_Cam_T_1_155.jpg;155;25;0.0911
2025_Conforme_1_Cam_B_1_131.jpg;131;2025_Conforme_1_Cam_T_1_164.jpg;164;33;0.1446
2025_Conforme_1_Cam_B_1_133.jpg;133;2025_Conforme_1_Cam_T_1_139.jpg;139;6;0.1815
2025_Conforme_1_Cam_B_1_134.jpg;134;2025_Conforme_1_Cam_T_1_85.jpg;85;-49;0.1328
2025_Conforme_1_Cam_B_1_135.jpg;135;2025_Conforme_1_Cam_T_1_67.jpg;67;-68;0.1118
2025_Conforme_1_Cam_B_1_136.jpg;136;2025_Conforme_1_Cam_T_1_201.jpg;201;65;0.1506
2025_Conforme_1_Cam_B_1_138.jpg;138;2025_Conforme_1_Cam_T_1_152.jpg;152;14;0.2847
2025_Conforme_1_Cam_B_1_139.jpg;139;2025_Conforme_1_Cam_T_1_145.jpg;145;6;0.3535
2025_Conforme_1_Cam_B_1_140.jpg;140;2025_Conforme_1_Cam_T_1_151.jpg;151;11;0.3756
2025_Conforme_1_Cam_B_1_142.jpg;142;2025_Conforme_1_Cam_T_1_162.jpg;162;20;0.4512
2025_Conforme_1_Cam_B_1_143.jpg;143;2025_Conforme_1_Cam_T_1_128.jpg;128;-15;0.1499
2025_Conforme_1_Cam_B_1_144.jpg;144;2025_Conforme_1_Cam_T_1_84.jpg;84;-60;0.1193
2025_Conforme_1_Cam_B_1_145.jpg;145;2025_Conforme_1_Cam_T_1_169.jpg;169;24;0.2556
2025_Conforme_1_Cam_B_1_146.jpg;146;2025_Conforme_1_Cam_T_1_183.jpg;183;37;0.1006
2025_Conforme_1_Cam_B_1_147.jpg;147;2025_Conforme_1_Cam_T_1_76.jpg;76;-71;0.0862
2025_Conforme_1_Cam_B_1_150.jpg;150;2025_Conforme_1_Cam_T_1_147.jpg;147;-3;0.1294
2025_Conforme_1_Cam_B_1_153.jpg;153;2025_Conforme_1_Cam_T_1_135.jpg;135;-18;0.0618
2025_Conforme_1_Cam_B_1_157.jpg;157;2025_Conforme_1_Cam_T_1_106.jpg;106;-51;0.3248
2025_Conforme_1_Cam_B_1_159.jpg;159;2025_Conforme_1_Cam_T_1_149.jpg;149;-10;0.2020
2025_Conforme_1_Cam_B_1_160.jpg;160;2025_Conforme_1_Cam_T_1_168.jpg;168;8;0.0759
2025_Conforme_1_Cam_B_1_162.jpg;162;2025_Conforme_1_Cam_T_1_127.jpg;127;-35;0.2434
2025_Conforme_1_Cam_B_1_163.jpg;163;2025_Conforme_1_Cam_T_1_146.jpg;146;-17;0.5068
2025_Conforme_1_Cam_B_1_164.jpg;164;2025_Conforme_1_Cam_T_1_100.jpg;100;-64;0.1129
2025_Conforme_1_Cam_B_1_165.jpg;165;2025_Conforme_1_Cam_T_1_188.jpg;188;23;0.0946
2025_Conforme_1_Cam_B_1_166.jpg;166;2025_Conforme_1_Cam_T_1_148.jpg;148;-18;0.2742
2025_Conforme_1_Cam_B_1_167.jpg;167;2025_Conforme_1_Cam_T_1_177.jpg;177;10;0.0256
2025_Conforme_1_Cam_B_1_169.jpg;169;2025_Conforme_1_Cam_T_1_101.jpg;101;-68;0.2481
2025_Conforme_1_Cam_B_1_170.jpg;170;2025_Conforme_1_Cam_T_1_171.jpg;171;1;0.2583
2025_Conforme_1_Cam_B_1_171.jpg;171;2025_Conforme_1_Cam_T_1_99.jpg;99;-72;0.1528
2025_Conforme_1_Cam_B_1_172.jpg;172;2025_Conforme_1_Cam_T_1_131.jpg;131;-41;0.1597
2025_Conforme_1_Cam_B_1_173.jpg;173;2025_Conforme_1_Cam_T_1_219.jpg;219;46;0.1550
2025_Conforme_1_Cam_B_1_174.jpg;174;2025_Conforme_1_Cam_T_1_143.jpg;143;-31;0.2124
2025_Conforme_1_Cam_B_1_177.jpg;177;2025_Conforme_1_Cam_T_1_111.jpg;111;-66;0.2234
2025_Conforme_1_Cam_B_1_178.jpg;178;2025_Conforme_1_Cam_T_1_226.jpg;226;48;0.2234
2025_Conforme_1_Cam_B_1_179.jpg;179;2025_Conforme_1_Cam_T_1_134.jpg;134;-45;0.2879
2025_Conforme_1_Cam_B_1_180.jpg;180;2025_Conforme_1_Cam_T_1_252.jpg;252;72;0.1822
2025_Conforme_1_Cam_B_1_181.jpg;181;2025_Conforme_1_Cam_T_1_113.jpg;113;-68;0.2483
2025_Conforme_1_Cam_B_1_182.jpg;182;2025_Conforme_1_Cam_T_1_221.jpg;221;39;0.1224
2025_Conforme_1_Cam_B_1_183.jpg;183;2025_Conforme_1_Cam_T_1_115.jpg;115;-68;0.0542
2025_Conforme_1_Cam_B_1_184.jpg;184;2025_Conforme_1_Cam_T_1_167.jpg;167;-17;0.1240
2025_Conforme_1_Cam_B_1_185.jpg;185;2025_Conforme_1_Cam_T_1_141.jpg;141;-44;0.1763
2025_Conforme_1_Cam_B_1_186.jpg;186;2025_Conforme_1_Cam_T_1_138.jpg;138;-48;0.0765
2025_Conforme_1_Cam_B_1_187.jpg;187;2025_Conforme_1_Cam_T_1_179.jpg;179;-8;0.1392
2025_Conforme_1_Cam_B_1_189.jpg;189;2025_Conforme_1_Cam_T_1_142.jpg;142;-47;0.2368
2025_Conforme_1_Cam_B_1_190.jpg;190;2025_Conforme_1_Cam_T_1_124.jpg;124;-66;0.2519
2025_Conforme_1_Cam_B_1_192.jpg;192;2025_Conforme_1_Cam_T_1_207.jpg;207;15;0.2898
2025_Conforme_1_Cam_B_1_193.jpg;193;2025_Conforme_1_Cam_T_1_118.jpg;118;-75;0.2427
2025_Conforme_1_Cam_B_1_194.jpg;194;2025_Conforme_1_Cam_T_1_237.jpg;237;43;0.1883
2025_Conforme_1_Cam_B_1_195.jpg;195;2025_Conforme_1_Cam_T_1_175.jpg;175;-20;0.3527
2025_Conforme_1_Cam_B_1_196.jpg;196;2025_Conforme_1_Cam_T_1_140.jpg;140;-56;0.2655
2025_Conforme_1_Cam_B_1_197.jpg;197;2025_Conforme_1_Cam_T_1_223.jpg;223;26;0.1186
2025_Conforme_1_Cam_B_1_198.jpg;198;2025_Conforme_1_Cam_T_1_180.jpg;180;-18;0.1496
2025_Conforme_1_Cam_B_1_199.jpg;199;2025_Conforme_1_Cam_T_1_215.jpg;215;16;0.0577
2025_Conforme_1_Cam_B_1_202.jpg;202;2025_Conforme_1_Cam_T_1_157.jpg;157;-45;0.1834
2025_Conforme_1_Cam_B_1_203.jpg;203;2025_Conforme_1_Cam_T_1_166.jpg;166;-37;0.1032
2025_Conforme_1_Cam_B_1_204.jpg;204;2025_Conforme_1_Cam_T_1_161.jpg;161;-43;0.1223
2025_Conforme_1_Cam_B_1_205.jpg;205;2025_Conforme_1_Cam_T_1_165.jpg;165;-40;0.1681
2025_Conforme_1_Cam_B_1_206.jpg;206;2025_Conforme_1_Cam_T_1_163.jpg;163;-43;0.1565
2025_Conforme_1_Cam_B_1_208.jpg;208;2025_Conforme_1_Cam_T_1_154.jpg;154;-54;0.0778
2025_Conforme_1_Cam_B_1_209.jpg;209;2025_Conforme_1_Cam_T_1_174.jpg;174;-35;0.1876
2025_Conforme_1_Cam_B_1_212.jpg;212;2025_Conforme_1_Cam_T_1_230.jpg;230;18;0.1551
2025_Conforme_1_Cam_B_1_215.jpg;215;2025_Conforme_1_Cam_T_1_173.jpg;173;-42;0.1822
2025_Conforme_1_Cam_B_1_216.jpg;216;2025_Conforme_1_Cam_T_1_191.jpg;191;-25;0.1870
2025_Conforme_1_Cam_B_1_217.jpg;217;2025_Conforme_1_Cam_T_1_271.jpg;271;54;0.2275
2025_Conforme_1_Cam_B_1_219.jpg;219;2025_Conforme_1_Cam_T_1_185.jpg;185;-34;0.1915
2025_Conforme_1_Cam_B_1_220.jpg;220;2025_Conforme_1_Cam_T_1_153.jpg;153;-67;0.3088
2025_Conforme_1_Cam_B_1_221.jpg;221;2025_Conforme_1_Cam_T_1_170.jpg;170;-51;0.0916
2025_Conforme_1_Cam_B_1_223.jpg;223;2025_Conforme_1_Cam_T_1_243.jpg;243;20;0.0599
2025_Conforme_1_Cam_B_1_224.jpg;224;2025_Conforme_1_Cam_T_1_277.jpg;277;53;0.3445
2025_Conforme_1_Cam_B_1_225.jpg;225;2025_Conforme_1_Cam_T_1_267.jpg;267;42;0.1836
2025_Conforme_1_Cam_B_1_229.jpg;229;2025_Conforme_1_Cam_T_1_202.jpg;202;-27;0.1927
2025_Conforme_1_Cam_B_1_230.jpg;230;2025_Conforme_1_Cam_T_1_206.jpg;206;-24;0.1196
2025_Conforme_1_Cam_B_1_231.jpg;231;2025_Conforme_1_Cam_T_1_192.jpg;192;-39;0.2034
2025_Conforme_1_Cam_B_1_233.jpg;233;2025_Conforme_1_Cam_T_1_195.jpg;195;-38;0.0989
2025_Conforme_1_Cam_B_1_235.jpg;235;2025_Conforme_1_Cam_T_1_193.jpg;193;-42;0.2216
2025_Conforme_1_Cam_B_1_236.jpg;236;2025_Conforme_1_Cam_T_1_178.jpg;178;-58;0.2406
2025_Conforme_1_Cam_B_1_237.jpg;237;2025_Conforme_1_Cam_T_1_241.jpg;241;4;0.3509
2025_Conforme_1_Cam_B_1_240.jpg;240;2025_Conforme_1_Cam_T_1_189.jpg;189;-51;0.1569
2025_Conforme_1_Cam_B_1_242.jpg;242;2025_Conforme_1_Cam_T_1_182.jpg;182;-60;0.1016
2025_Conforme_1_Cam_B_1_244.jpg;244;2025_Conforme_1_Cam_T_1_212.jpg;212;-32;0.2341
2025_Conforme_1_Cam_B_1_247.jpg;247;2025_Conforme_1_Cam_T_1_294.jpg;294;47;0.1866
2025_Conforme_1_Cam_B_1_251.jpg;251;2025_Conforme_1_Cam_T_1_187.jpg;187;-64;0.1269
