numech_B_repere;nom_img_B;nom_img_T;vide_B;vide_T;accord
-4;NULL;2025_Conforme_2_Cam_T_3_0.jpg;NULL;True;NULL
-3;NULL;2025_Conforme_2_Cam_T_3_1.jpg;NULL;True;NULL
-2;NULL;2025_Conforme_2_Cam_T_3_2.jpg;NULL;True;NULL
-1;NULL;2025_Conforme_2_Cam_T_3_3.jpg;NULL;True;NULL
0;2025_Conforme_2_Cam_B_3_0.jpg;2025_Conforme_2_Cam_T_3_4.jpg;True;True;OK
1;2025_Conforme_2_Cam_B_3_1.jpg;2025_Conforme_2_Cam_T_3_5.jpg;True;True;OK
2;2025_Conforme_2_Cam_B_3_2.jpg;2025_Conforme_2_Cam_T_3_6.jpg;True;True;OK
3;2025_Conforme_2_Cam_B_3_3.jpg;2025_Conforme_2_Cam_T_3_7.jpg;True;True;OK
4;2025_Conforme_2_Cam_B_3_4.jpg;2025_Conforme_2_Cam_T_3_8.jpg;True;True;OK
5;2025_Conforme_2_Cam_B_3_5.jpg;2025_Conforme_2_Cam_T_3_9.jpg;True;True;OK
6;2025_Conforme_2_Cam_B_3_6.jpg;2025_Conforme_2_Cam_T_3_10.jpg;True;True;OK
7;2025_Conforme_2_Cam_B_3_7.jpg;2025_Conforme_2_Cam_T_3_11.jpg;True;True;OK
8;2025_Conforme_2_Cam_B_3_8.jpg;2025_Conforme_2_Cam_T_3_12.jpg;True;True;OK
9;2025_Conforme_2_Cam_B_3_9.jpg;2025_Conforme_2_Cam_T_3_13.jpg;True;True;OK
10;2025_Conforme_2_Cam_B_3_10.jpg;2025_Conforme_2_Cam_T_3_14.jpg;True;True;OK
11;2025_Conforme_2_Cam_B_3_11.jpg;2025_Conforme_2_Cam_T_3_15.jpg;True;True;OK
12;2025_Conforme_2_Cam_B_3_12.jpg;2025_Conforme_2_Cam_T_3_16.jpg;True;True;OK
13;2025_Conforme_2_Cam_B_3_13.jpg;2025_Conforme_2_Cam_T_3_17.jpg;True;True;OK
14;2025_Conforme_2_Cam_B_3_14.jpg;2025_Conforme_2_Cam_T_3_18.jpg;True;True;OK
15;2025_Conforme_2_Cam_B_3_15.jpg;2025_Conforme_2_Cam_T_3_19.jpg;True;True;OK
16;2025_Conforme_2_Cam_B_3_16.jpg;2025_Conforme_2_Cam_T_3_20.jpg;True;True;OK
17;2025_Conforme_2_Cam_B_3_17.jpg;2025_Conforme_2_Cam_T_3_21.jpg;True;True;OK
18;2025_Conforme_2_Cam_B_3_18.jpg;2025_Conforme_2_Cam_T_3_22.jpg;True;True;OK
19;2025_Conforme_2_Cam_B_3_19.jpg;2025_Conforme_2_Cam_T_3_23.jpg;True;True;OK
20;2025_Conforme_2_Cam_B_3_20.jpg;2025_Conforme_2_Cam_T_3_24.jpg;True;True;OK
21;2025_Conforme_2_Cam_B_3_21.jpg;2025_Conforme_2_Cam_T_3_25.jpg;True;True;OK
22;2025_Conforme_2_Cam_B_3_22.jpg;2025_Conforme_2_Cam_T_3_26.jpg;True;True;OK
23;2025_Conforme_2_Cam_B_3_23.jpg;2025_Conforme_2_Cam_T_3_27.jpg;True;True;OK
24;2025_Conforme_2_Cam_B_3_24.jpg;2025_Conforme_2_Cam_T_3_28.jpg;True;True;OK
25;2025_Conforme_2_Cam_B_3_25.jpg;2025_Conforme_2_Cam_T_3_29.jpg;True;True;OK
26;2025_Conforme_2_Cam_B_3_26.jpg;2025_Conforme_2_Cam_T_3_30.jpg;True;True;OK
27;2025_Conforme_2_Cam_B_3_27.jpg;2025_Conforme_2_Cam_T_3_31.jpg;True;True;OK
28;2025_Conforme_2_Cam_B_3_28.jpg;2025_Conforme_2_Cam_T_3_32.jpg;False;False;OK
29;2025_Conforme_2_Cam_B_3_29.jpg;2025_Conforme_2_Cam_T_3_33.jpg;True;True;OK
30;2025_Conforme_2_Cam_B_3_30.jpg;2025_Conforme_2_Cam_T_3_34.jpg;True;True;OK
31;2025_Conforme_2_Cam_B_3_31.jpg;2025_Conforme_2_Cam_T_3_35.jpg;True;True;OK
32;2025_Conforme_2_Cam_B_3_32.jpg;2025_Conforme_2_Cam_T_3_36.jpg;True;True;OK
33;2025_Conforme_2_Cam_B_3_33.jpg;2025_Conforme_2_Cam_T_3_37.jpg;True;True;OK
34;2025_Conforme_2_Cam_B_3_34.jpg;2025_Conforme_2_Cam_T_3_38.jpg;True;True;OK
35;2025_Conforme_2_Cam_B_3_35.jpg;2025_Conforme_2_Cam_T_3_39.jpg;True;False;CONFLIT
36;2025_Conforme_2_Cam_B_3_36.jpg;2025_Conforme_2_Cam_T_3_40.jpg;False;True;CONFLIT
37;2025_Conforme_2_Cam_B_3_37.jpg;2025_Conforme_2_Cam_T_3_41.jpg;AMBIGU;True;AMBIGU
38;2025_Conforme_2_Cam_B_3_38.jpg;2025_Conforme_2_Cam_T_3_42.jpg;False;True;CONFLIT
39;2025_Conforme_2_Cam_B_3_39.jpg;2025_Conforme_2_Cam_T_3_43.jpg;False;True;CONFLIT
40;2025_Conforme_2_Cam_B_3_40.jpg;2025_Conforme_2_Cam_T_3_44.jpg;True;True;OK
41;2025_Conforme_2_Cam_B_3_41.jpg;2025_Conforme_2_Cam_T_3_45.jpg;True;False;CONFLIT
42;2025_Conforme_2_Cam_B_3_42.jpg;2025_Conforme_2_Cam_T_3_46.jpg;True;False;CONFLIT
43;2025_Conforme_2_Cam_B_3_43.jpg;2025_Conforme_2_Cam_T_3_47.jpg;False;False;OK
44;2025_Conforme_2_Cam_B_3_44.jpg;2025_Conforme_2_Cam_T_3_48.jpg;False;False;OK
45;2025_Conforme_2_Cam_B_3_45.jpg;2025_Conforme_2_Cam_T_3_49.jpg;False;False;OK
46;2025_Conforme_2_Cam_B_3_46.jpg;2025_Conforme_2_Cam_T_3_50.jpg;False;False;OK
47;2025_Conforme_2_Cam_B_3_47.jpg;2025_Conforme_2_Cam_T_3_51.jpg;False;False;OK
