numech_B_repere;nom_img_B;nom_img_T;vide_B;vide_T;accord
1;2025_NON_Conforme_Cam_B_4_1.jpg;NULL;True;NULL;NULL
2;2025_NON_Conforme_Cam_B_4_2.jpg;2025_NON_Conforme_Cam_T_4_0.jpg;True;True;OK
3;2025_NON_Conforme_Cam_B_4_3.jpg;2025_NON_Conforme_Cam_T_4_1.jpg;True;True;OK
4;2025_NON_Conforme_Cam_B_4_4.jpg;2025_NON_Conforme_Cam_T_4_2.jpg;True;True;OK
5;2025_NON_Conforme_Cam_B_4_5.jpg;2025_NON_Conforme_Cam_T_4_3.jpg;True;True;OK
6;2025_NON_Conforme_Cam_B_4_6.jpg;2025_NON_Conforme_Cam_T_4_4.jpg;True;True;OK
7;2025_NON_Conforme_Cam_B_4_7.jpg;2025_NON_Conforme_Cam_T_4_5.jpg;True;True;OK
8;2025_NON_Conforme_Cam_B_4_8.jpg;2025_NON_Conforme_Cam_T_4_6.jpg;True;True;OK
9;2025_NON_Conforme_Cam_B_4_9.jpg;2025_NON_Conforme_Cam_T_4_7.jpg;True;True;OK
10;2025_NON_Conforme_Cam_B_4_10.jpg;2025_NON_Conforme_Cam_T_4_8.jpg;True;True;OK
11;2025_NON_Conforme_Cam_B_4_11.jpg;2025_NON_Conforme_Cam_T_4_9.jpg;True;True;OK
12;2025_NON_Conforme_Cam_B_4_12.jpg;2025_NON_Conforme_Cam_T_4_10.jpg;True;True;OK
13;2025_NON_Conforme_Cam_B_4_13.jpg;2025_NON_Conforme_Cam_T_4_11.jpg;True;True;OK
15;2025_NON_Conforme_Cam_B_4_15.jpg;2025_NON_Conforme_Cam_T_4_13.jpg;True;True;OK
16;2025_NON_Conforme_Cam_B_4_16.jpg;2025_NON_Conforme_Cam_T_4_14.jpg;True;True;OK
17;NULL;2025_NON_Conforme_Cam_T_4_15.jpg;NULL;True;NULL
18;NULL;2025_NON_Conforme_Cam_T_4_16.jpg;NULL;True;NULL
19;2025_NON_Conforme_Cam_B_4_19.jpg;2025_NON_Conforme_Cam_T_4_17.jpg;True;True;OK
20;2025_NON_Conforme_Cam_B_4_20.jpg;2025_NON_Conforme_Cam_T_4_18.jpg;True;True;OK
21;2025_NON_Conforme_Cam_B_4_21.jpg;NULL;True;NULL;NULL
22;2025_NON_Conforme_Cam_B_4_22.jpg;NULL;True;NULL;NULL
23;2025_NON_Conforme_Cam_B_4_23.jpg;2025_NON_Conforme_Cam_T_4_21.jpg;True;True;OK
24;NULL;2025_NON_Conforme_Cam_T_4_22.jpg;NULL;True;NULL
25;2025_NON_Conforme_Cam_B_4_25.jpg;NULL;True;NULL;NULL
26;2025_NON_Conforme_Cam_B_4_26.jpg;NULL;True;NULL;NULL
27;NULL;2025_NON_Conforme_Cam_T_4_25.jpg;NULL;True;NULL
28;NULL;2025_NON_Conforme_Cam_T_4_26.jpg;NULL;True;NULL
29;NULL;2025_NON_Conforme_Cam_T_4_27.jpg;NULL;True;NULL
30;2025_NON_Conforme_Cam_B_4_30.jpg;2025_NON_Conforme_Cam_T_4_28.jpg;True;True;OK
31;2025_NON_Conforme_Cam_B_4_31.jpg;2025_NON_Conforme_Cam_T_4_29.jpg;True;True;OK
32;2025_NON_Conforme_Cam_B_4_32.jpg;2025_NON_Conforme_Cam_T_4_30.jpg;True;True;OK
33;NULL;2025_NON_Conforme_Cam_T_4_31.jpg;NULL;True;NULL
34;2025_NON_Conforme_Cam_B_4_34.jpg;2025_NON_Conforme_Cam_T_4_32.jpg;True;True;OK
35;NULL;2025_NON_Conforme_Cam_T_4_33.jpg;NULL;True;NULL
36;NULL;2025_NON_Conforme_Cam_T_4_34.jpg;NULL;True;NULL
37;2025_NON_Conforme_Cam_B_4_37.jpg;2025_NON_Conforme_Cam_T_4_35.jpg;True;True;OK
38;NULL;2025_NON_Conforme_Cam_T_4_36.jpg;NULL;True;NULL
39;2025_NON_Conforme_Cam_B_4_39.jpg;2025_NON_Conforme_Cam_T_4_37.jpg;True;True;OK
40;2025_NON_Conforme_Cam_B_4_40.jpg;2025_NON_Conforme_Cam_T_4_38.jpg;AMBIGU;True;AMBIGU
41;2025_NON_Conforme_Cam_B_4_41.jpg;2025_NON_Conforme_Cam_T_4_39.jpg;True;True;OK
42;2025_NON_Conforme_Cam_B_4_42.jpg;2025_NON_Conforme_Cam_T_4_40.jpg;True;True;OK
43;2025_NON_Conforme_Cam_B_4_43.jpg;2025_NON_Conforme_Cam_T_4_41.jpg;True;True;OK
44;2025_NON_Conforme_Cam_B_4_44.jpg;2025_NON_Conforme_Cam_T_4_42.jpg;True;True;OK
45;2025_NON_Conforme_Cam_B_4_45.jpg;2025_NON_Conforme_Cam_T_4_43.jpg;True;True;OK
46;2025_NON_Conforme_Cam_B_4_46.jpg;2025_NON_Conforme_Cam_T_4_44.jpg;True;True;OK
47;2025_NON_Conforme_Cam_B_4_47.jpg;2025_NON_Conforme_Cam_T_4_45.jpg;True;True;OK
48;2025_NON_Conforme_Cam_B_4_48.jpg;2025_NON_Conforme_Cam_T_4_46.jpg;True;True;OK
49;2025_NON_Conforme_Cam_B_4_49.jpg;2025_NON_Conforme_Cam_T_4_47.jpg;True;True;OK
50;2025_NON_Conforme_Cam_B_4_50.jpg;2025_NON_Conforme_Cam_T_4_48.jpg;True;True;OK
51;2025_NON_Conforme_Cam_B_4_51.jpg;2025_NON_Conforme_Cam_T_4_49.jpg;True;True;OK
52;2025_NON_Conforme_Cam_B_4_52.jpg;2025_NON_Conforme_Cam_T_4_50.jpg;True;True;OK
53;2025_NON_Conforme_Cam_B_4_53.jpg;2025_NON_Conforme_Cam_T_4_51.jpg;True;True;OK
54;NULL;2025_NON_Conforme_Cam_T_4_52.jpg;NULL;True;NULL
55;NULL;2025_NON_Conforme_Cam_T_4_53.jpg;NULL;True;NULL
56;2025_NON_Conforme_Cam_B_4_56.jpg;2025_NON_Conforme_Cam_T_4_54.jpg;AMBIGU;True;AMBIGU
57;2025_NON_Conforme_Cam_B_4_57.jpg;2025_NON_Conforme_Cam_T_4_55.jpg;True;True;OK
58;2025_NON_Conforme_Cam_B_4_58.jpg;2025_NON_Conforme_Cam_T_4_56.jpg;True;True;OK
59;2025_NON_Conforme_Cam_B_4_59.jpg;2025_NON_Conforme_Cam_T_4_57.jpg;True;True;OK
60;2025_NON_Conforme_Cam_B_4_60.jpg;2025_NON_Conforme_Cam_T_4_58.jpg;True;True;OK
61;NULL;2025_NON_Conforme_Cam_T_4_59.jpg;NULL;True;NULL
62;2025_NON_Conforme_Cam_B_4_62.jpg;2025_NON_Conforme_Cam_T_4_60.jpg;True;False;CONFLIT
63;2025_NON_Conforme_Cam_B_4_63.jpg;2025_NON_Conforme_Cam_T_4_61.jpg;False;True;CONFLIT
64;2025_NON_Conforme_Cam_B_4_64.jpg;2025_NON_Conforme_Cam_T_4_62.jpg;True;True;OK
65;2025_NON_Conforme_Cam_B_4_65.jpg;2025_NON_Conforme_Cam_T_4_63.jpg;False;True;CONFLIT
66;2025_NON_Conforme_Cam_B_4_66.jpg;2025_NON_Conforme_Cam_T_4_64.jpg;True;True;OK
67;2025_NON_Conforme_Cam_B_4_67.jpg;2025_NON_Conforme_Cam_T_4_65.jpg;True;True;OK
