numech_B_repere;nom_img_B;nom_img_T;vide_B;vide_T;accord
-6;NULL;2026_Conforme_Cam_T_4_0.jpg;NULL;True;NULL
-5;NULL;2026_Conforme_Cam_T_4_1.jpg;NULL;True;NULL
-4;NULL;2026_Conforme_Cam_T_4_2.jpg;NULL;True;NULL
-3;NULL;2026_Conforme_Cam_T_4_3.jpg;NULL;True;NULL
-2;NULL;2026_Conforme_Cam_T_4_4.jpg;NULL;True;NULL
-1;NULL;2026_Conforme_Cam_T_4_5.jpg;NULL;True;NULL
0;2026_Conforme_Cam_B_4_0.jpg;2026_Conforme_Cam_T_4_6.jpg;True;True;OK
1;2026_Conforme_Cam_B_4_1.jpg;2026_Conforme_Cam_T_4_7.jpg;False;True;CONFLIT
2;2026_Conforme_Cam_B_4_2.jpg;2026_Conforme_Cam_T_4_8.jpg;True;True;OK
3;2026_Conforme_Cam_B_4_3.jpg;2026_Conforme_Cam_T_4_9.jpg;True;True;OK
4;2026_Conforme_Cam_B_4_4.jpg;2026_Conforme_Cam_T_4_10.jpg;True;AMBIGU;AMBIGU
5;2026_Conforme_Cam_B_4_5.jpg;2026_Conforme_Cam_T_4_11.jpg;True;False;CONFLIT
6;2026_Conforme_Cam_B_4_6.jpg;2026_Conforme_Cam_T_4_12.jpg;False;True;CONFLIT
7;2026_Conforme_Cam_B_4_7.jpg;2026_Conforme_Cam_T_4_13.jpg;False;True;CONFLIT
8;2026_Conforme_Cam_B_4_8.jpg;2026_Conforme_Cam_T_4_14.jpg;False;False;OK
9;2026_Conforme_Cam_B_4_9.jpg;2026_Conforme_Cam_T_4_15.jpg;True;True;OK
10;2026_Conforme_Cam_B_4_10.jpg;2026_Conforme_Cam_T_4_16.jpg;True;False;CONFLIT
11;2026_Conforme_Cam_B_4_11.jpg;2026_Conforme_Cam_T_4_17.jpg;False;True;CONFLIT
12;2026_Conforme_Cam_B_4_12.jpg;2026_Conforme_Cam_T_4_18.jpg;False;True;CONFLIT
13;2026_Conforme_Cam_B_4_13.jpg;2026_Conforme_Cam_T_4_19.jpg;False;False;OK
14;NULL;2026_Conforme_Cam_T_4_20.jpg;NULL;AMBIGU;NULL
15;2026_Conforme_Cam_B_4_15.jpg;2026_Conforme_Cam_T_4_21.jpg;False;True;CONFLIT
