numech_B_repere;nom_img_B;nom_img_T;vide_B;vide_T;accord
-9;NULL;2026_PIETRA_Cam_T_2_2.jpg;NULL;True;NULL
-8;NULL;2026_PIETRA_Cam_T_2_3.jpg;NULL;True;NULL
-7;NULL;2026_PIETRA_Cam_T_2_4.jpg;NULL;True;NULL
-6;NULL;2026_PIETRA_Cam_T_2_5.jpg;NULL;True;NULL
-5;NULL;2026_PIETRA_Cam_T_2_6.jpg;NULL;True;NULL
-4;NULL;2026_PIETRA_Cam_T_2_7.jpg;NULL;True;NULL
-3;NULL;2026_PIETRA_Cam_T_2_8.jpg;NULL;True;NULL
-2;NULL;2026_PIETRA_Cam_T_2_9.jpg;NULL;True;NULL
-1;NULL;2026_PIETRA_Cam_T_2_10.jpg;NULL;True;NULL
0;2026_PIETRA_Cam_B_2_0.jpg;2026_PIETRA_Cam_T_2_11.jpg;True;True;OK
1;2026_PIETRA_Cam_B_2_1.jpg;2026_PIETRA_Cam_T_2_12.jpg;True;True;OK
2;2026_PIETRA_Cam_B_2_2.jpg;2026_PIETRA_Cam_T_2_13.jpg;True;True;OK
3;2026_PIETRA_Cam_B_2_3.jpg;2026_PIETRA_Cam_T_2_14.jpg;True;True;OK
4;2026_PIETRA_Cam_B_2_4.jpg;2026_PIETRA_Cam_T_2_15.jpg;True;True;OK
5;2026_PIETRA_Cam_B_2_5.jpg;2026_PIETRA_Cam_T_2_16.jpg;True;True;OK
6;2026_PIETRA_Cam_B_2_6.jpg;2026_PIETRA_Cam_T_2_17.jpg;True;True;OK
7;2026_PIETRA_Cam_B_2_7.jpg;2026_PIETRA_Cam_T_2_18.jpg;True;True;OK
8;2026_PIETRA_Cam_B_2_8.jpg;2026_PIETRA_Cam_T_2_19.jpg;True;True;OK
9;2026_PIETRA_Cam_B_2_9.jpg;2026_PIETRA_Cam_T_2_20.jpg;True;True;OK
10;2026_PIETRA_Cam_B_2_10.jpg;2026_PIETRA_Cam_T_2_21.jpg;True;True;OK
11;2026_PIETRA_Cam_B_2_11.jpg;2026_PIETRA_Cam_T_2_22.jpg;True;True;OK
12;2026_PIETRA_Cam_B_2_12.jpg;2026_PIETRA_Cam_T_2_23.jpg;True;True;OK
13;2026_PIETRA_Cam_B_2_13.jpg;2026_PIETRA_Cam_T_2_24.jpg;True;True;OK
14;2026_PIETRA_Cam_B_2_14.jpg;2026_PIETRA_Cam_T_2_25.jpg;True;True;OK
15;2026_PIETRA_Cam_B_2_15.jpg;2026_PIETRA_Cam_T_2_26.jpg;True;True;OK
16;2026_PIETRA_Cam_B_2_16.jpg;2026_PIETRA_Cam_T_2_27.jpg;True;True;OK
17;2026_PIETRA_Cam_B_2_17.jpg;2026_PIETRA_Cam_T_2_28.jpg;True;True;OK
18;2026_PIETRA_Cam_B_2_18.jpg;2026_PIETRA_Cam_T_2_29.jpg;True;True;OK
19;2026_PIETRA_Cam_B_2_19.jpg;2026_PIETRA_Cam_T_2_30.jpg;True;True;OK
20;2026_PIETRA_Cam_B_2_20.jpg;2026_PIETRA_Cam_T_2_31.jpg;True;True;OK
21;2026_PIETRA_Cam_B_2_21.jpg;2026_PIETRA_Cam_T_2_32.jpg;True;True;OK
22;2026_PIETRA_Cam_B_2_22.jpg;2026_PIETRA_Cam_T_2_33.jpg;True;True;OK
23;2026_PIETRA_Cam_B_2_23.jpg;2026_PIETRA_Cam_T_2_34.jpg;True;True;OK
24;2026_PIETRA_Cam_B_2_24.jpg;2026_PIETRA_Cam_T_2_35.jpg;True;True;OK
25;2026_PIETRA_Cam_B_2_25.jpg;2026_PIETRA_Cam_T_2_36.jpg;True;True;OK
26;2026_PIETRA_Cam_B_2_26.jpg;2026_PIETRA_Cam_T_2_37.jpg;True;True;OK
27;2026_PIETRA_Cam_B_2_27.jpg;2026_PIETRA_Cam_T_2_38.jpg;True;True;OK
28;2026_PIETRA_Cam_B_2_28.jpg;2026_PIETRA_Cam_T_2_39.jpg;True;True;OK
29;2026_PIETRA_Cam_B_2_29.jpg;2026_PIETRA_Cam_T_2_40.jpg;True;AMBIGU;AMBIGU
30;2026_PIETRA_Cam_B_2_30.jpg;2026_PIETRA_Cam_T_2_41.jpg;True;False;CONFLIT
31;2026_PIETRA_Cam_B_2_31.jpg;2026_PIETRA_Cam_T_2_42.jpg;True;True;OK
32;2026_PIETRA_Cam_B_2_32.jpg;2026_PIETRA_Cam_T_2_43.jpg;False;True;CONFLIT
33;2026_PIETRA_Cam_B_2_33.jpg;2026_PIETRA_Cam_T_2_44.jpg;False;False;OK
34;2026_PIETRA_Cam_B_2_34.jpg;2026_PIETRA_Cam_T_2_45.jpg;True;True;OK
35;2026_PIETRA_Cam_B_2_35.jpg;2026_PIETRA_Cam_T_2_46.jpg;True;True;OK
36;2026_PIETRA_Cam_B_2_36.jpg;2026_PIETRA_Cam_T_2_47.jpg;False;False;OK
37;2026_PIETRA_Cam_B_2_37.jpg;2026_PIETRA_Cam_T_2_48.jpg;True;True;OK
38;2026_PIETRA_Cam_B_2_38.jpg;2026_PIETRA_Cam_T_2_49.jpg;True;True;OK
39;2026_PIETRA_Cam_B_2_39.jpg;2026_PIETRA_Cam_T_2_50.jpg;True;True;OK
40;2026_PIETRA_Cam_B_2_40.jpg;2026_PIETRA_Cam_T_2_51.jpg;True;True;OK
41;2026_PIETRA_Cam_B_2_41.jpg;2026_PIETRA_Cam_T_2_52.jpg;True;True;OK
42;2026_PIETRA_Cam_B_2_42.jpg;2026_PIETRA_Cam_T_2_53.jpg;True;True;OK
43;2026_PIETRA_Cam_B_2_43.jpg;2026_PIETRA_Cam_T_2_54.jpg;True;True;OK
44;2026_PIETRA_Cam_B_2_44.jpg;2026_PIETRA_Cam_T_2_55.jpg;True;True;OK
45;2026_PIETRA_Cam_B_2_45.jpg;2026_PIETRA_Cam_T_2_56.jpg;True;True;OK
46;2026_PIETRA_Cam_B_2_46.jpg;2026_PIETRA_Cam_T_2_57.jpg;True;False;CONFLIT
47;2026_PIETRA_Cam_B_2_47.jpg;2026_PIETRA_Cam_T_2_58.jpg;AMBIGU;True;AMBIGU
48;2026_PIETRA_Cam_B_2_48.jpg;2026_PIETRA_Cam_T_2_59.jpg;False;True;CONFLIT
49;2026_PIETRA_Cam_B_2_49.jpg;2026_PIETRA_Cam_T_2_60.jpg;True;False;CONFLIT
50;2026_PIETRA_Cam_B_2_50.jpg;2026_PIETRA_Cam_T_2_61.jpg;True;True;OK
51;2026_PIETRA_Cam_B_2_51.jpg;2026_PIETRA_Cam_T_2_62.jpg;False;True;CONFLIT
52;2026_PIETRA_Cam_B_2_52.jpg;2026_PIETRA_Cam_T_2_63.jpg;True;False;CONFLIT
53;2026_PIETRA_Cam_B_2_53.jpg;2026_PIETRA_Cam_T_2_64.jpg;True;False;CONFLIT
54;2026_PIETRA_Cam_B_2_54.jpg;2026_PIETRA_Cam_T_2_65.jpg;False;False;OK
55;2026_PIETRA_Cam_B_2_55.jpg;2026_PIETRA_Cam_T_2_66.jpg;AMBIGU;False;AMBIGU
56;2026_PIETRA_Cam_B_2_56.jpg;2026_PIETRA_Cam_T_2_67.jpg;AMBIGU;AMBIGU;AMBIGU
57;2026_PIETRA_Cam_B_2_57.jpg;2026_PIETRA_Cam_T_2_68.jpg;True;True;OK
